"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Australia","AUS","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","534253276251.775","532127922158.072","534321272040.878","555853919502.697","577998529066.45","600180698208.946","623459218503.373","648188963210.958","677854554628.537","712246177178.302","740259794710.13","754553157158.696","784745877836.565","808177874340.684","840953139846.61","867899547278.98","892153321462.839","926449749907.859","960338851197.2","978940556359.173","999179341091.187","1023786693378.39","1063900323475.97","1091401058484.28","1119047498754.94","1143584264937.26","1175269007501.75","1202307371144.15","1237766851372.32","1264514452068.92","",
"Austria","AUT","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289196183579.716","299149239762.936","305412002739.216","307020941278.871","314395949869.888","322783982034.219","330367900959.969","337284481317.65","349364074800.215","361788618556.876","374001597079.132","378740826344.531","384995935315.734","388620560092.706","399249799620.246","408209225932.214","422308943374.901","438050151547.474","444447539672.282","427715964581.492","435573507521.485","448304438167.778","451354905887.963","451470022657.698","454455471338.242","459065929302.201","468198757499.218","479433596843.075","491803562476.427","498780948170.607","",
"Azerbaijan","AZE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55540624744.2421","55151840269.5449","42687524343.4612","32826706514.8601","26359845094.2868","23249383443.8207","23551625304.2098","24917619574.7578","27409381822.6163","29437675964.2406","32705257850.1121","35943078419.8626","39335715522.7918","43351223374.8606","47362859458.4811","60606243436.306","81494918186.5947","102246145156.964","113075481507.199","123669607924.191","129592445708.164","127553959620.07","130363895571.512","137981599993.781","141841753136.857","143330448105.275","138939378713.709","139152809949.428","141240661085.239","144374373673.18","",
"Burundi","BDI","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6444307085.5261","6766318570.79823","6834658278.13972","6408175601.48877","6162742476.19536","5674653271.84973","5220681010.2186","5137672182.32014","5381711610.7284","5327356323.6485","5281708122.04697","5390289853.06244","5629970137.7553","5561074619.02674","5829877934.33885","5882346835.80048","6200805749.0857","6414854617.51195","6726726438.06685","6983199494.26243","7341030040.14927","7637064600.79901","7976662580.3333","8369449021.12303","8724368198.60431","8384117569.63019","8333811187.34308","8375481076.5592","8510320717.21629","8667121391.54335","",
"Belgium","BEL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","355165627954.587","361676077722.388","367212090486.801","363679975398.136","375415824645.958","384368580853.02","389447823040.918","404222140092.639","412152203474.168","426753698722.959","442614765464.743","447481841025.89","455119839588.948","459843904101.05","476265869576.975","487323510745.638","499761712097.614","518137356214.43","520453060947.551","509936041829.079","524542102688.825","533430541522.966","537373752279.017","539841599283.094","548363177848.7","559557787346.025","566645629788.956","575757783559.912","586192218833.161","596414353196.983","",
"Benin","BEN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10829251969.7034","11286874436.489","11620707543.6601","12298912033.7281","12547399307.5157","13305914520.7808","13881300057.6388","14677349358.5828","15258720948.2152","16073757802.4829","17015312596.6258","17922762308.2107","18754921695.0711","19400761822.9039","20260154372.7025","20607244157.9487","21419940047.219","22702212482.9606","23813843817.0295","24366156424.7022","24881272742.8767","25618692190.0885","26851264681.9124","28782255584.8831","30612139032.1129","31156469106.8938","32196993426.2291","34023063767.8921","36301676624.9684","38794036239.4945","",
"Burkina Faso","BFA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8965578966.65021","9778755585.63689","9801511802.25928","10140779855.6219","10274131848.1712","10861439635.759","12057799392.1846","12819470652.4471","13756281626.4151","14773591365.2802","15052586780.6907","16048075419.6757","16746642338.0862","18053298083.0785","18861806396.8256","20495592155.5072","21777215286.8077","22672559146.7304","23987565704.7263","24698065613.0907","26784133778.8634","28557929808.7362","30400679457.6706","32161664608.7426","33553250183.4258","34868949890.8718","36946433803.5338","39238401912.359","41879631193.9151","44266533524.5122","",
"Bangladesh","BGD","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156587099092.043","162044516224.857","170864089695.163","178914456746.146","185874455334.185","195393602731.684","204231097539.642","213400862434.587","224448682431.005","234930786867.074","247366365800.347","259925868052.997","269889148727.735","282680726834.717","297491876548.729","316935781802.484","338081436016.661","361945250084.025","383711876467.608","403070619485.479","425528860652.202","453036659483.801","482581258494.141","511601792358.324","542610280673.704","578165578311.579","619293260761.415","664403662063.264","716650658732.236","775076929107.665","",
"Bulgaria","BGR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105155336970.58","96274595276.1454","89273133163.6345","87951699071.1232","89550670808.7868","92107388180.1373","96840709037.5719","83096286543.7031","86657196605.6845","79481099064.4426","83281919814.6249","86460990364.1063","91608042870.1344","96327543591.9598","102532828573.894","109867556894.571","117340932229.769","125035072263.111","132644241139.07","128167712448.155","128884742216.415","131919406836.616","132389814269.232","132821099820.701","135325394690.193","140724677269.207","146100971432.129","151218525444.512","155894879186.442","161654116771.967","",
"Bahrain","BHR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19143294359.5147","21293086082.5424","22717593193.6643","25641348952.8748","25577245199.8358","26582428773.7152","27674968221.8626","28530954929.9429","29897588466.6886","31183184459.9341","32835915082.0051","33653840687.5828","34780756594.7147","36970706753.4516","39551617223.3436","42228865351.1674","44959806124.9449","48688754662.264","51729372637.1175","53043239697.4314","55342292396.8801","56440015074.3357","58544160034.475","61715403401.7232","64400264665.9136","66000855034.9501","68349250016.7145","71282082008.2729","72550499216.8947","73870319406.3974","",
